,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,Yes,Travel_Rarely,,,1,,Life Sciences,1,1,2,Female,94,3,2,,4,Single,,19479,8,Y,Yes,11,,1,80,0,8,0,,6,,0,
1,,No,,279,Research & Development,,,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,,24907,1,Y,,23,,4,,1,10,,3,10,,,7
2,37,Yes,,1373,,2,2,,1,4,,Male,92,2,1,Laboratory Technician,3,Single,,2396,6,Y,Yes,15,3,,80,0,7,3,,,0,,0
3,,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,,,,Female,56,3,1,Research Scientist,3,,2909,23159,1,Y,Yes,11,3,3,,,8,3,,8,,3,0
4,27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,,1,,2,,3468,16632,,Y,No,,3,4,80,1,6,,3,2,2,2,
5,32,No,,1005,Research & Development,2,2,,1,8,,Male,79,,1,,4,Single,3068,11864,0,,No,13,3,3,80,0,,2,,7,7,,
6,,No,,,Research & Development,3,3,Medical,,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,,Y,Yes,20,4,,80,3,12,3,,1,,0,0
7,30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,,,67,3,1,Laboratory Technician,3,Divorced,,13335,,Y,No,,4,2,80,1,1,2,3,1,0,0,0
8,38,No,Travel_Frequently,216,Research & Development,,3,Life Sciences,1,12,4,Male,44,2,3,,3,Single,9526,,0,Y,No,21,4,,,0,10,2,3,9,7,1,8
9,,No,Travel_Rarely,1299,Research & Development,,3,,1,13,3,Male,94,3,2,Healthcare Representative,3,,5237,16577,6,Y,No,,3,2,80,2,17,3,2,7,7,,7
10,35,No,Travel_Rarely,809,,,3,Medical,1,14,1,Male,84,,1,Laboratory Technician,2,,2426,16479,0,Y,No,13,3,3,80,,6,5,,,4,0,3
11,,No,Travel_Rarely,153,Research & Development,15,,Life Sciences,1,15,,Female,49,2,2,,3,Single,4193,12682,0,Y,Yes,,3,4,80,0,10,3,3,9,,0,8
12,31,No,Travel_Rarely,670,Research & Development,26,,,1,16,1,Male,31,3,1,,3,Divorced,2911,15170,1,Y,No,,3,4,,1,5,,,5,,4,
13,34,No,,1346,Research & Development,19,,Medical,1,18,,,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,,No,11,3,,,1,3,2,,2,2,1,2
14,28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,,Y,Yes,,3,2,80,0,6,4,,4,2,0,3
15,29,No,,,Research & Development,,4,Life Sciences,,,2,Female,,4,,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,,8
16,,No,,334,Research & Development,5,,Life Sciences,,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,,Yes,12,,,,2,,5,2,6,2,,5
17,22,No,Non-Travel,1123,Research & Development,16,,Medical,1,22,4,Male,96,4,,Laboratory Technician,,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,,0
18,53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,,,1,Female,78,2,4,Manager,4,,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,,8,3,7
19,38,No,Travel_Rarely,371,Research & Development,,3,Life Sciences,1,24,,Male,45,3,1,Research Scientist,4,,3944,4306,5,Y,Yes,,3,,,0,,3,3,,2,1,2
20,24,No,,673,Research & Development,11,,Other,1,,1,Female,96,4,2,,3,,,,0,,No,18,3,4,80,1,5,,2,,2,1,3
21,36,Yes,Travel_Rarely,1218,Sales,,,Life Sciences,1,27,3,Male,82,2,,,1,Single,3407,,7,Y,,23,4,2,,0,,,3,5,3,,3
22,34,No,Travel_Rarely,419,,7,4,,1,28,1,Female,53,,3,Research Director,2,Single,11994,21293,0,,,11,3,,,,13,4,3,12,6,2,11
23,21,No,Travel_Rarely,391,Research & Development,15,2,,,,3,Male,96,,1,,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
24,34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,,2,,,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,,0,8,,3,,2,1,3
